#,,,,,,,,,"generated_by='OpenQuake engine 3.10.0-git811058fcf4', start_date='2020-07-22T04:20:22', checksum=2291992654, investigation_time=50.0, ses_per_logic_tree_path=100000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
155,2,6.550000E+00,1.599000E+00,-5.593489E-02,1.400000E+01,Active Shallow Crust,1.269969E+01,3.222952E+01,9.000000E+01
156,8,6.550000E+00,1.598725E+00,-3.795066E-02,1.400000E+01,Active Shallow Crust,9.238426E+00,3.244288E+01,9.000000E+01
157,7,6.550000E+00,1.598450E+00,-1.996644E-02,1.400000E+01,Active Shallow Crust,5.806419E+00,3.265856E+01,9.000000E+01
158,4,6.550000E+00,1.598175E+00,-1.982211E-03,1.400000E+01,Active Shallow Crust,2.427736E+00,3.287666E+01,9.000000E+01
159,6,6.550000E+00,1.597900E+00,1.600202E-02,1.400000E+01,Active Shallow Crust,3.591243E+02,3.309713E+01,9.000000E+01
160,4,6.550000E+00,1.597625E+00,3.398624E-02,1.400000E+01,Active Shallow Crust,3.591244E+02,3.309681E+01,9.000000E+01
161,9,6.550000E+00,1.597350E+00,5.197047E-02,1.400000E+01,Active Shallow Crust,3.591245E+02,3.309539E+01,9.000000E+01
162,8,6.550000E+00,1.597076E+00,6.995470E-02,1.400000E+01,Active Shallow Crust,3.591245E+02,3.309505E+01,9.000000E+01
163,6,6.550000E+00,1.596801E+00,8.793893E-02,1.400000E+01,Active Shallow Crust,3.591246E+02,3.309503E+01,9.000000E+01
164,11,6.550000E+00,1.276410E+00,-5.202212E-01,1.500000E+01,Active Shallow Crust,3.865898E+01,3.061004E+01,9.000000E+01
165,7,6.550000E+00,1.287646E+00,-5.061764E-01,1.500000E+01,Active Shallow Crust,3.865890E+01,3.060893E+01,9.000000E+01
166,10,6.550000E+00,1.298882E+00,-4.921314E-01,1.500000E+01,Active Shallow Crust,3.865887E+01,3.060950E+01,9.000000E+01
167,10,6.550000E+00,1.310118E+00,-4.780865E-01,1.500000E+01,Active Shallow Crust,3.865884E+01,3.060924E+01,9.000000E+01
168,9,6.550000E+00,1.321354E+00,-4.640415E-01,1.500000E+01,Active Shallow Crust,3.865878E+01,3.060814E+01,9.000000E+01
169,8,6.550000E+00,1.332589E+00,-4.499966E-01,1.500000E+01,Active Shallow Crust,3.865876E+01,3.060667E+01,9.000000E+01
170,5,6.550000E+00,1.343825E+00,-4.359516E-01,1.500000E+01,Active Shallow Crust,3.865875E+01,3.060538E+01,9.000000E+01
171,7,6.550000E+00,1.355061E+00,-4.219066E-01,1.500000E+01,Active Shallow Crust,3.865873E+01,3.060513E+01,9.000000E+01
